How do you handle sessions in Sinatra?,"```ruby
configure do
  enable :sessions
  set :session_secret, ""secret""
end

get ""/login"" do
  session[:username] = params[:username]
  redirect ""/""
end

get ""/"" do
  ""Hello, #{session[:username] || 'Guest'}""
end

get ""/logout"" do
  session.clear
  redirect ""/""
end
```",
What are layout templates in Sinatra?,"Layout templates are view templates that wrap around other view templates, providing common elements like headers, footers, and navigation. In Sinatra, the default layout is named `layout.erb` and includes the rendered view where the `yield` keyword appears.

```ruby
# views/layout.erb
<!DOCTYPE html>
<html>
  <head>
    <title>My Application</title>
    <link rel=""stylesheet"" href=""/stylesheets/style.css"">
  </head>
  <body>
    <header>
      <h1>My Application</h1>
      <nav>
        <!-- Navigation links -->
      </nav>
    </header>
    
    <main>
      <%= yield %>
    </main>
    
    <footer>
      <p>&copy; 2025 My Application</p>
    </footer>
  </body>
</html>
```",
How do you serve static files in Sinatra?,"Sinatra serves static files from the `public` directory. Any files placed in that directory are served directly without routing through the application.

```ruby
# Accessing a CSS file at public/stylesheets/style.css
# In your HTML:
<link rel=""stylesheet"" href=""/stylesheets/style.css"">

# Accessing an image at public/images/logo.png
# In your HTML:
<img src=""/images/logo.png"" alt=""Logo"">
```",
How do you redirect in Sinatra?,"```ruby
get ""/old-path"" do
  redirect ""/new-path""
end

get ""/login"" do
  # Process login
  redirect ""/""
end

get ""/restricted"" do
  redirect ""/login"" unless session[:user_id]
  # Restricted content
end
```",
How do you handle form submissions in Sinatra?,"```ruby
# Display the form
get ""/new"" do
  erb :new
end

# Process the form submission
post ""/create"" do
  # Access form data using params
  @name = params[:name]
  @email = params[:email]
  
  # Perform actions with the data
  # Save to database, file, etc.
  
  # Redirect or render a response
  erb :show
end
```",
How do you implement user authentication in Sinatra?,"```ruby
# In app.rb
helpers do
  def authenticate
    @user = User.find_by(id: session[:user_id]) if session[:user_id]
  end
  
  def authenticated?
    !@user.nil?
  end
  
  def require_authentication
    redirect ""/login"" unless authenticated?
  end
end

get ""/login"" do
  erb :login
end

post ""/login"" do
  user = User.authenticate(params[:username], params[:password])
  if user
    session[:user_id] = user.id
    redirect ""/""
  else
    @error = ""Invalid credentials""
    erb :login
  end
end

get ""/protected"" do
  require_authentication
  erb :protected
end
```",
What are helpers in Sinatra and how do you use them?,"Helpers in Sinatra are methods that can be used across routes and templates to extract common functionality and keep code DRY.

```ruby
helpers do
  def current_user
    @current_user ||= User.find(session[:user_id]) if session[:user_id]
  end
  
  def logged_in?
    !current_user.nil?
  end
  
  def h(text)
    Rack::Utils.escape_html(text)
  end
end

# In a route
get ""/"" do
  redirect ""/login"" unless logged_in?
  # ...
end

# In a template
<% if logged_in? %>
  <p>Welcome, <%= h(current_user.name) %>!</p>
<% else %>
  <p>Please log in</p>
<% end %>
```",
How do you handle file uploads in Sinatra?,"```ruby
# In the form (views/upload.erb)
<form action=""/upload"" method=""post"" enctype=""multipart/form-data"">
  <input type=""file"" name=""file"">
  <input type=""submit"" value=""Upload"">
</form>

# In the route
post ""/upload"" do
  if params[:file]
    filename = params[:file][:filename]
    file = params[:file][:tempfile]
    
    # Save the file
    File.open(""./public/uploads/#{filename}"", ""wb"") do |f|
      f.write(file.read)
    end
    
    ""File uploaded successfully!""
  else
    ""No file selected""
  end
end
```",
How do you deploy a Sinatra application?,"A Sinatra application can be deployed using various platforms like Heroku:

1. Add necessary gems to Gemfile:
```ruby
source ""https://rubygems.org""

ruby ""3.1.2""
gem ""sinatra""
gem ""puma""
```

2. Create a config.ru file:
```ruby
require './app'
run Sinatra::Application
```

3. Create a Procfile for Heroku:
```
web: bundle exec puma -t 5:5 -p ${PORT:-3000} -e ${RACK_ENV:-development}
```

4. Deploy to Heroku:
```bash
heroku create
git push heroku main
```",
What is middleware and how is it used in Rack/Sinatra applications?,"Middleware is software that sits between the web server and the application, processing requests and responses. In Rack, middleware is implemented as classes with a `call` method that takes an environment hash and returns a response array.

```ruby
class SimpleLogger
  def initialize(app)
    @app = app
  end
  
  def call(env)
    puts ""Request received: #{env['REQUEST_METHOD']} #{env['PATH_INFO']}""
    status, headers, body = @app.call(env)
    puts ""Response sent: #{status}""
    [status, headers, body]
  end
end

# In config.ru
use SimpleLogger
run MyApp
```",
How do you handle errors in Sinatra?,"```ruby
# Define error handlers for specific status codes
not_found do
  status 404
  erb :not_found
end

error 500 do
  status 500
  erb :internal_error
end

# Handle custom exceptions
error MyCustomError do
  status 400
  erb :custom_error
end

# General error handling
error do
  status 500
  ""Something went wrong: #{env['sinatra.error'].message}""
end
```",
How do you structure a larger Sinatra application?,"For larger applications, it's better to use the modular style with a structured directory layout:

```
my_app/
├── config.ru
├── Gemfile
├── Gemfile.lock
├── app.rb
├── models/
│   ├── user.rb
│   └── post.rb
├── controllers/
│   ├── application_controller.rb
│   ├── users_controller.rb
│   └── posts_controller.rb
├── views/
│   ├── layout.erb
│   ├── index.erb
│   ├── users/
│   │   ├── index.erb
│   │   └── show.erb
│   └── posts/
│       ├── index.erb
│       └── show.erb
├── public/
│   ├── stylesheets/
│   ├── images/
│   └── javascripts/
└── helpers/
    └── application_helper.rb
```

Modular application example:
```ruby
# app.rb
require 'sinatra/base'
require_relative 'controllers/application_controller'
require_relative 'controllers/users_controller'
require_relative 'controllers/posts_controller'

# config.ru
require './app'
map('/users') { run UsersController }
map('/posts') { run PostsController }
map('/') { run ApplicationController }
```",
